bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
SUYOG ELECTRICALS LTD,"[{'S.no': '1', 'Vendor_code': '3669', 'Vendor_name': 'KEI INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3722', 'Vendor_name': 'POLYCAB INDIA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3724', 'Vendor_name': 'CORDS CABLE INDUSTRIESLTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3765', 'Vendor_name': 'THERMO CABLES LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': '3773', 'Vendor_name': 'TEMPSENS INSTRUMENTS (I) PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '3796', 'Vendor_name': 'PARAMOUNT COMMUNICATIONS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'D012', 'Vendor_name': 'DELTON CABLES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'E063', 'Vendor_name': 'ELKAY TELELINKS  LTD.-', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'S304', 'Vendor_name': 'SUYOG ELECTRICALS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'T243', 'Vendor_name': 'T C COMMUNICATION PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'U015', 'Vendor_name': 'UDEY PYROCABLES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",26990317.5 INR,21-12-2021,Signal Cables,24-11-2021,B015-000-YS-MR-1751/133,10-MAR-2022
UDEY PYROCABLES PVT. LTD.,"[{'S.no': '1', 'Vendor_code': '3669', 'Vendor_name': 'KEI INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3722', 'Vendor_name': 'POLYCAB INDIA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3724', 'Vendor_name': 'CORDS CABLE INDUSTRIESLTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3765', 'Vendor_name': 'THERMO CABLES LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': '3773', 'Vendor_name': 'TEMPSENS INSTRUMENTS (I) PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '3796', 'Vendor_name': 'PARAMOUNT COMMUNICATIONS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'D012', 'Vendor_name': 'DELTON CABLES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'E063', 'Vendor_name': 'ELKAY TELELINKS  LTD.-', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'S304', 'Vendor_name': 'SUYOG ELECTRICALS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'T243', 'Vendor_name': 'T C COMMUNICATION PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'U015', 'Vendor_name': 'UDEY PYROCABLES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",78600915.8 INR,21-12-2021,Signal Cables,24-11-2021,B015-000-YS-MR-1751/133,10-MAR-2022
KEI INDUSTRIES LIMITED,"[{'S.no': '1', 'Vendor_code': '3669', 'Vendor_name': 'KEI INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3722', 'Vendor_name': 'POLYCAB INDIA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3724', 'Vendor_name': 'CORDS CABLE INDUSTRIESLTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3765', 'Vendor_name': 'THERMO CABLES LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': '3773', 'Vendor_name': 'TEMPSENS INSTRUMENTS (I) PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '3796', 'Vendor_name': 'PARAMOUNT COMMUNICATIONS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'D012', 'Vendor_name': 'DELTON CABLES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'E063', 'Vendor_name': 'ELKAY TELELINKS  LTD.-', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'S304', 'Vendor_name': 'SUYOG ELECTRICALS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'T243', 'Vendor_name': 'T C COMMUNICATION PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'U015', 'Vendor_name': 'UDEY PYROCABLES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",2836110 INR,21-12-2021,Signal Cables,24-11-2021,B015-000-YS-MR-1751/133,10-MAR-2022
CORDS CABLE INDUSTRIESLTD.,"[{'S.no': '1', 'Vendor_code': '3669', 'Vendor_name': 'KEI INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3722', 'Vendor_name': 'POLYCAB INDIA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3724', 'Vendor_name': 'CORDS CABLE INDUSTRIESLTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3765', 'Vendor_name': 'THERMO CABLES LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': '3773', 'Vendor_name': 'TEMPSENS INSTRUMENTS (I) PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '3796', 'Vendor_name': 'PARAMOUNT COMMUNICATIONS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'D012', 'Vendor_name': 'DELTON CABLES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'E063', 'Vendor_name': 'ELKAY TELELINKS  LTD.-', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'S304', 'Vendor_name': 'SUYOG ELECTRICALS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'T243', 'Vendor_name': 'T C COMMUNICATION PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'U015', 'Vendor_name': 'UDEY PYROCABLES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",6215200 INR,21-12-2021,Signal Cables,24-11-2021,B015-000-YS-MR-1751/133,10-MAR-2022
UNIVERSAL CABLES LTD,"[{'S.no': '1', 'Vendor_code': '3885', 'Vendor_name': 'LS CABLE INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'K082', 'Vendor_name': 'KEI INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'K190A', 'Vendor_name': 'KEC INTERNATIONAL LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'U003', 'Vendor_name': 'UNIVERSAL CABLES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",699018500 INR,29-10-2021,CABLES - EXTRA HIGH VOLTAGE,24-09-2021,B229-000-XT-MR-0201/92,05-MAR-2022
NEUMAN & ESSER ENGINEERING (I) PVT LTD,"[{'S.no': '1', 'Vendor_code': '3608', 'Vendor_name': 'NEUMAN & ESSER ENGINEERING (I) PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'D129', 'Vendor_name': 'SIEMENS ENERGY INDUSTRIAL TURBOMACHINERY', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",269748000 INR,24-06-2021,COMPRESSOR-RECIPROCATING (SPECIAL PURPOSE PROCESS),27-05-2021,B229-000-KA-MR-5600/49,04-MAR-2022
SKB BUILDERS INDIA LTD,"[{'S.no': '1', 'Vendor_code': '57545', 'Vendor_name': 'Suroj Buildcon Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57548', 'Vendor_name': 'Aditya Enterprises', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57549', 'Vendor_name': 'SEPC Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'I029', 'Vendor_name': 'ISGEC HEAVY ENGINEERING LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'R020', 'Vendor_name': 'RSB PROJECTS  LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'S021', 'Vendor_name': 'BANSAL INFRATECH SYNERGIES INDIA LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'T070', 'Vendor_name': 'Tuaman Engineering Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'V031', 'Vendor_name': 'VRC CONSTRUCTIONS (INDIA) PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': '~1BW', 'Vendor_name': 'SKB BUILDERS INDIA LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': '~LB1', 'Vendor_name': 'SRR PROJECTS PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': '~~02', 'Vendor_name': 'KEC INTERNATIONAL LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",1148313773 INR,31-08-2021,Civil & Structural Works-III,25-06-2021,AS/B229-000-CF-T-8008/1015,04-MAR-2022
RSB PROJECTS  LTD,"[{'S.no': '1', 'Vendor_code': '57545', 'Vendor_name': 'Suroj Buildcon Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57548', 'Vendor_name': 'Aditya Enterprises', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57549', 'Vendor_name': 'SEPC Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'I029', 'Vendor_name': 'ISGEC HEAVY ENGINEERING LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'R020', 'Vendor_name': 'RSB PROJECTS  LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'S021', 'Vendor_name': 'BANSAL INFRATECH SYNERGIES INDIA LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'T070', 'Vendor_name': 'Tuaman Engineering Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'V031', 'Vendor_name': 'VRC CONSTRUCTIONS (INDIA) PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': '~1BW', 'Vendor_name': 'SKB BUILDERS INDIA LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': '~LB1', 'Vendor_name': 'SRR PROJECTS PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': '~~02', 'Vendor_name': 'KEC INTERNATIONAL LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",1227961585 INR,31-08-2021,Civil & Structural Works-III,25-06-2021,AS/B229-000-CF-T-8008/1015,04-MAR-2022
AVEVA INFORMATION TECH. INDIA PVT.LTD.,"[{'S.no': '1', 'Vendor_code': '~0045', 'Vendor_name': 'AVEVA INFORMATION TECH. INDIA PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",81495276.32 INR,20-12-2021,Procurement of Software for CPCL's Cauvery Basin Refinery Project,10-12-2021,B416-000-00-MR-8901/4,31-DEC-2021
ADARSH NOBLE CORPORATION LIMITED,"[{'S.no': '1', 'Vendor_code': '57485', 'Vendor_name': 'ADARSH NOBLE CORPORATION LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '~1BX', 'Vendor_name': 'DEVI ENGINEERING AND CONSTRUCTIONS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '~1CD', 'Vendor_name': 'HARIOM BUILDERS (Kutch,Gujarat)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",170569297.3 INR,30-12-2021,Misc. Civil & Structural works -II of VRMP OBE,10-12-2021,/B015-000-CI-TN-8216/1054,03-FEB-2022
VITON ENGINEERS PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': '3636', 'Vendor_name': 'STEEL STRONG VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3640', 'Vendor_name': 'FLOTEK INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3705', 'Vendor_name': 'NUTECH CONTROLS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3709', 'Vendor_name': 'JMD ENGINEERING', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3749', 'Vendor_name': 'G M VALVE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3764', 'Vendor_name': 'VITON ENGINEERS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3817', 'Vendor_name': 'HI TECH BUTTERFLY VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3933', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '3957', 'Vendor_name': 'KUMARS FORGE AND VALVES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'A018', 'Vendor_name': 'AV VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'A288', 'Vendor_name': 'ASSOCIATED TOOLINGS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'E211', 'Vendor_name': 'EXPERT VALVE AND EQUIPMENT PRIVATE LIMIT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'H108', 'Vendor_name': 'HAWA ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'K088', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '15', 'Vendor_code': 'N016', 'Vendor_name': 'NITON VALVE INDUSTRIES PRIVATE LTD .', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'O035', 'Vendor_name': 'OSWAL INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'P199', 'Vendor_name': 'PANCHVATI VALVES & FLANGES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",5785220 INR,26-10-2021,VALVES- GATE/ GLOBE/ CHECK (SMALL & BIG BORE),12-10-2021,B390-000-WB-MR-3111/32,08-FEB-2022
PANCHVATI VALVES & FLANGES PVT LTD,"[{'S.no': '1', 'Vendor_code': '3636', 'Vendor_name': 'STEEL STRONG VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3640', 'Vendor_name': 'FLOTEK INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3705', 'Vendor_name': 'NUTECH CONTROLS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3709', 'Vendor_name': 'JMD ENGINEERING', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3749', 'Vendor_name': 'G M VALVE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3764', 'Vendor_name': 'VITON ENGINEERS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3817', 'Vendor_name': 'HI TECH BUTTERFLY VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3933', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '3957', 'Vendor_name': 'KUMARS FORGE AND VALVES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'A018', 'Vendor_name': 'AV VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'A288', 'Vendor_name': 'ASSOCIATED TOOLINGS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'E211', 'Vendor_name': 'EXPERT VALVE AND EQUIPMENT PRIVATE LIMIT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'H108', 'Vendor_name': 'HAWA ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'K088', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '15', 'Vendor_code': 'N016', 'Vendor_name': 'NITON VALVE INDUSTRIES PRIVATE LTD .', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'O035', 'Vendor_name': 'OSWAL INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'P199', 'Vendor_name': 'PANCHVATI VALVES & FLANGES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",15985260 INR,26-10-2021,VALVES- GATE/ GLOBE/ CHECK (SMALL & BIG BORE),12-10-2021,B390-000-WB-MR-3111/32,09-FEB-2022
FLOTEK INDUSTRIES,"[{'S.no': '1', 'Vendor_code': '3636', 'Vendor_name': 'STEEL STRONG VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3640', 'Vendor_name': 'FLOTEK INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3705', 'Vendor_name': 'NUTECH CONTROLS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3709', 'Vendor_name': 'JMD ENGINEERING', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3749', 'Vendor_name': 'G M VALVE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3764', 'Vendor_name': 'VITON ENGINEERS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3817', 'Vendor_name': 'HI TECH BUTTERFLY VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3933', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '3957', 'Vendor_name': 'KUMARS FORGE AND VALVES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'A018', 'Vendor_name': 'AV VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'A288', 'Vendor_name': 'ASSOCIATED TOOLINGS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'E211', 'Vendor_name': 'EXPERT VALVE AND EQUIPMENT PRIVATE LIMIT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'H108', 'Vendor_name': 'HAWA ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'K088', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '15', 'Vendor_code': 'N016', 'Vendor_name': 'NITON VALVE INDUSTRIES PRIVATE LTD .', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'O035', 'Vendor_name': 'OSWAL INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'P199', 'Vendor_name': 'PANCHVATI VALVES & FLANGES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",6130420 INR,26-10-2021,VALVES- GATE/ GLOBE/ CHECK (SMALL & BIG BORE),12-10-2021,B390-000-WB-MR-3111/32,07-FEB-2022
